"lx","ly","rx","ry"
0,0,0,0
28228,9025,-10625,-30675
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,-32767,6829
0,0,-32767,6829
0,0,-32767,6311
0,0,-32767,5276
-8780,-23374,-32767,3213
-16187,-30951,-32767,2184
-18536,-29944,-32767,2184
-20345,-28639,-32767,2441
-21142,-28407,-32767,3986
-21142,-28407,-32767,5018
-21142,-28407,-32767,5018
-21142,-28407,-32767,5018
-21142,-28407,-32767,5018
-21381,-27861,-32767,5018
-22694,-27104,-32767,5018
-23482,-26597,-32767,5018
-23723,-26057,-32767,5018
-23723,-26057,-32767,5018
-23723,-26057,-32767,5018
-23980,-25796,-32767,5276
-23705,-25779,-32767,5793
-23980,-25796,-32767,6570
-23705,-25779,-32767,7608
-23705,-25779,-32767,9170
-23705,-25779,-32767,11526
-23705,-25779,-32767,14166
-22934,-26563,-32082,15975
0,0,-29737,19867
0,0,-28190,22213
0,0,-25309,25049
0,0,-22164,27348
0,0,-19011,28839
0,0,-16158,30377
0,0,-13550,31099
0,0,-11209,31567
0,0,-10447,32114
0,0,-9413,32364
0,0,-9413,32364
0,0,-9413,32364
0,0,-9413,32364
0,0,-11483,31868
0,0,-15669,31207
0,0,-18505,29374
0,0,-21636,27595
0,0,-23705,25777
0,0,-26824,22676
0,0,-27860,21380
0,0,-28622,20073
0,0,-29139,19295
0,0,-29422,19311
0,0,-29422,19311
0,0,-29422,19311
0,0,-29422,19311
0,0,-29422,19311
0,0,-29422,19311
-15444,-790,-29422,19311
-21911,-1574,-29422,19311
-25730,-1865,-29422,19311
-27784,-1886,-29422,19311
-28371,-1892,-29422,19311
-28665,-1895,-29422,19311
-28371,-1892,-29422,19311
0,0,-29422,19311
0,0,-29422,19311
0,0,-29422,19311
0,0,-29422,19311
0,0,-29422,19311
0,0,-29422,19311
0,0,-29422,19311
0,0,-28921,20360
0,0,-27646,22453
0,0,-19534,28588
0,0,-11307,27823
0,0,-4891,26966
0,0,-1378,27191
0,0,4142,27238
3226,-20197,12595,27607
-642,-32768,25084,25862
-642,-32768,28937,20631
-1413,-32768,29203,20376
-4245,-32768,30496,18297
-9171,-32768,30737,17507
-11264,-32768,30737,17507
-12821,-32507,30737,17507
-14620,-31442,30737,17507
-15906,-30650,30737,17507
-17211,-30152,30737,17507
-17887,-27926,30737,17507
-16166,-21932,30737,17507
-10161,-10832,30737,17507
0,0,30737,17507
0,0,30737,17507
0,0,30737,17507
0,0,30737,17507
0,0,30737,17507
0,0,30737,17507
0,0,30751,17775
0,0,30751,17775
0,0,30751,17775
0,0,30766,18043
0,0,30766,18043
0,0,30766,18043
0,0,30766,18043
0,0,30766,18043
0,0,30766,18043
0,0,30766,18043
0,0,30781,18312
0,0,30796,18580
0,0,30796,18580
0,0,30796,18580
0,0,30796,18580
0,0,30796,18580
0,0,30796,18580
0,0,30796,18580
0,0,30796,18580
-111,-14558,30796,18580
-111,-14558,30796,18580
-385,-32768,30796,18580
642,-32768,30796,18580
642,-32768,30796,18580
642,-32768,30796,18580
1413,-32768,30796,18580
2909,-28973,30796,18580
5016,-17384,30796,18580
4417,-9966,30796,18580
0,0,30796,18580
0,0,30796,18580
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
0,0,30811,18850
22899,26003,30811,18850
23173,26021,30796,18580
23173,26021,30781,18312
23173,26021,30766,18043
23448,26038,30766,18043
23998,26072,30766,18043
24790,25568,30766,18043
25033,25032,30751,17775
25829,24530,30737,17507
26630,24031,30993,16987
26891,23773,32069,15709
26891,23773,32767,12843
26891,23773,32767,8909
26891,23773,32767,5276
26680,24857,32767,1669
23636,24668,32767,-1414
13773,15449,32767,-4762
0,0,32767,-7350
0,0,32767,-11003
0,0,32767,-12318
0,0,32767,-12581
0,0,32767,-12581
0,0,32767,-12581
0,0,32767,-12581
0,0,32767,-12318
0,0,32767,-12318
0,0,32767,-12318
0,0,32767,-12581
0,0,32767,-12845
0,0,32767,-13903
0,0,32657,-16004
0,0,31337,-18075
0,0,30052,-20425
0,0,28504,-22778
9479,-4791,27187,-24066
16149,-7320,26419,-25118
31814,-10176,24599,-26943
32105,-10186,24065,-27188
32105,-10186,24065,-27188
32094,-9925,23807,-27451
32094,-9925,23549,-27714
32094,-9925,23275,-27697
32094,-9925,23291,-27977
32094,-9925,23291,-27977
32094,-9925,23291,-27977
32094,-9925,23291,-27977
32084,-9665,22777,-28505
32074,-9404,21718,-29002
32065,-9144,17269,-31294
32065,-9144,16749,-31552
32065,-9144,16749,-31552
32065,-9144,16749,-31552
32065,-9144,16749,-31552
32065,-9144,16749,-31552
32065,-9144,16215,-31524
32065,-9144,15962,-31797
32065,-9144,12832,-32768
32065,-9144,10216,-32768
32065,-9144,7090,-32768
32612,-8121,3214,-32768
32767,-6054,128,-32768
32767,-5537,-1927,-32768
26992,-5650,-4245,-32768
19454,-5849,-4245,-32768
10172,-5769,-4245,-32768
10172,-5769,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-4245,-32768
0,0,-5019,-32768
4350,-9409,-6830,-32768
7652,-17307,-8910,-32768
9446,-26576,-11002,-32768
9924,-32095,-12557,-32495
9924,-32095,-13839,-31690
9924,-32095,-13839,-31690
9924,-32095,-13839,-31690
9924,-32095,-13839,-31690
10970,-32137,-14104,-31703
12509,-31339,-16454,-30965
14064,-30840,-17999,-29913
15095,-30321,-20345,-28639
16898,-29282,-22899,-26005
17920,-28493,-25188,-23122
22573,-25153,-28543,-13952
25691,-22335,-30872,-8327
27726,-19216,-32767,-2186
29505,-15849,-32767,3728
31278,-11199,-31223,9892
32767,-5795,-29806,16128
32767,1412,-29283,21733
32767,8128,-27220,24614
32767,13636,-25914,25913
31893,17833,-25150,26974
29847,21765,-23823,27728
29581,22022,-23566,27991
29581,22022,-23566,27991
29816,21221,-23308,28255
30557,19373,-23308,28255
32604,14937,-23308,28255
32767,9170,-23308,28255
32767,1412,-23308,28255
31977,-13853,-22504,28487
31742,-14900,-22504,28487
31742,-14900,-22504,28487
31742,-14900,-22504,28487
31742,-14900,-22504,28487
31742,-14900,-22504,28487
31742,-14900,-22504,28487
31715,-14370,-22504,28487
32426,-10982,-22504,28487
32767,8128,-22504,28487
32767,15228,-22487,28206
29831,21493,-22728,27662
25930,26190,-22984,27399
21446,28984,-23499,26874
16215,31522,-24015,26350
11790,32766,-24273,26089
8389,32766,-24531,25828
-2839,11462,-25326,25325
0,0,-25326,25325
0,0,-25326,25325
0,0,-25326,25325
0,0,-25309,25049
0,0,-25309,25049
0,0,-25569,24789
0,0,-25552,24513
0,0,-25552,24513
0,0,-25795,23979
0,0,-26858,23224
0,0,-27366,22436
0,0,-27613,21908
0,0,-28389,20869
0,0,-28921,20360
4200,12168,-29155,19565
8308,19625,-29690,19057
14463,28286,-30212,18282
16425,30391,-30993,16987
16439,30677,-32291,14393
16439,30677,-32566,14141
16439,30677,-32554,13876
16439,30677,-32554,13876
16439,30677,-32554,13876
16439,30677,-32542,13612
16454,30963,-32542,13612
16454,30963,-32542,13612
16201,31235,-32542,13612
11527,32766,-32542,13612
8649,32766,-32554,13876
5794,32766,-32554,13876
2699,32766,-32554,13876
-128,32766,-32554,13876
-2699,32766,-32542,13612
-5536,32766,-32542,13612
-8129,32766,-32542,13612
-12533,31915,-32542,13612
-13035,31362,-32554,13876
-13299,31374,-32542,13612
-13299,31374,-32542,13612
-13299,31374,-32554,13876
-13035,31362,-32542,13612
-10719,32415,-32542,13612
-7609,32766,-32554,13876
-5277,32766,-32554,13876
-2442,32766,-32554,13876
-1927,32766,-32554,13876
-1927,32766,-32554,13876
-1413,32766,-32554,13876
-1413,32766,-32542,13612
-1413,32766,-32542,13612
-899,32766,-32554,13876
-385,32766,-32554,13876
899,32766,-32554,13876
3729,32766,-32566,14141
6830,32766,-32566,14141
11002,32766,-32592,14671
15949,31508,-32604,14937
19868,29736,-32604,14937
22984,27399,-32604,14937
25603,25342,-32604,14937
27679,23000,-32604,14937
28969,21174,-32604,14937
25463,10159,-32330,15190
14557,-112,-32343,15456
0,0,-32082,15975
0,0,-31837,16762
0,0,-31565,17015
0,0,-31565,17015
0,0,-31565,17015
0,0,-31579,17283
0,0,-31579,17283
0,0,-31579,17283
0,0,-31579,17283
0,0,-31579,17283
0,0,-31579,17283
0,0,-31565,17015
0,0,-31565,17015
0,0,-31551,16748
0,0,-31551,16748
0,0,-31551,16748
0,0,-31551,16748
2858,-11753,-31537,16481
3596,-25178,-31551,16748
2699,-32768,-31551,16748
2699,-32768,-31551,16748
2699,-32768,-31537,16481
2699,-32768,-31537,16481
2699,-32768,-31537,16481
2699,-32768,-31537,16481
642,-32768,-31537,16481
-2442,-32768,-31537,16481
-4121,-18488,-31537,16481
-3579,-10126,-31537,16481
0,0,-31537,16481
0,0,-31537,16481
0,0,-31537,16481
0,0,-31537,16481
0,0,-31537,16481
0,0,-31537,16481
0,0,-31537,16481
0,0,-31537,16481
0,0,-31537,16481
0,0,-31537,16481
0,0,-31537,16481
0,0,-31537,16481
0,0,-31537,16481
0,0,-31565,17015
0,0,-31293,17268
0,0,-31293,17268
0,0,-31308,17536
0,0,-31337,18073
-1466,-15460,-31081,18595
-5623,-26117,-30005,19612
-8649,-32768,-28720,21701
-8129,-32768,-26891,23773
-8129,-32768,-24015,26350
-8129,-32768,-22984,27399
-8129,-32768,-21686,28437
-8129,-32768,-20377,29202
-8910,-32768,-19868,29736
-9954,-32768,-19074,29973
-10740,-32768,-19089,30257
-11516,-32739,-18551,30226
-11516,-32739,-18551,30226
-11516,-32739,-18551,30226
-11516,-32739,-18551,30226
-11516,-32739,-18551,30226
-11516,-32739,-18551,30226
-11516,-32739,-18551,30226
-11516,-32739,-18551,30226
-11516,-32739,-18551,30226
-11516,-32739,-18551,30226
-11516,-32739,-18551,30226
-12557,-32495,-18044,30765
-14858,-30881,-17002,31278
0,0,-6830,32766
0,0,-6830,32766
0,0,-6312,32766
0,0,-6312,32766
0,0,-6312,32766
0,0,-6312,32766
0,0,-6312,32766
0,0,-5019,32766
0,0,-5019,32766
0,0,-4503,32766
0,0,-4503,32766
0,0,-4503,32766
0,0,-4503,32766
0,0,-3987,32766
0,0,-2442,32766
0,0,-1413,32766
0,0,128,32766
0,0,128,32766
0,0,128,32766
0,0,128,32766
0,0,-899,32766
-31624,-3713,-6053,32766
-32767,-1157,-11232,32146
-32767,2441,-16958,30421
-32767,4760,-20837,27825
-32767,6829,-24773,25291
-32767,6829,-25309,25049
-32767,6829,-25309,25049
-32767,6829,-25309,25049
-32767,8648,-25309,25049
-32767,9170,-25309,25049
-32767,11789,-25292,24772
-32767,13371,-25309,25049
-32767,14431,-25292,24772
-32767,14431,-25275,24496
-31952,13323,-25535,24238
-29784,10097,-25535,24238
-29301,4692,-25535,24238
-31335,-3965,-25535,24238
-32767,-9694,-25535,24238
-32767,-11528,-25535,24238
-32767,-13097,-26056,23722
-32029,-14913,-27876,21652
-32056,-15445,-29422,19311
-32056,-15445,-31222,15934
-31796,-15963,-32767,9953
-31523,-16216,-32767,1155
-30979,-16721,-32767,-7610
-30979,-16721,-32767,-12581
-30979,-16721,-32767,-14156
-30979,-16721,-32767,-14421
-30979,-16721,-32767,-14156
-31495,-15683,-32767,-14156
-32278,-14131,-32767,-14156
-32767,-11791,-32767,-14156
-32767,-8650,-32767,-14156
-32767,-5537,-32767,-14156
-32767,-2186,-32767,-13097
-32767,898,-32767,-10479
-32767,2956,-32767,-2958
-32767,2956,-32767,-2958
-32767,2956,-32767,7348
-32767,-386,-32767,11263
-32767,-6054,-32767,13371
-32767,-11265,-32767,14684
-31782,-15697,-32657,16002
-29706,-19329,-31837,16762
-27893,-21926,-31865,17297
-26073,-23999,-31579,17283
-23465,-26318,-31579,17283
-22421,-27087,-31579,17283
-21909,-27614,-31579,17283
-21381,-27861,-31579,17283
-21125,-28125,-31579,17283
-21125,-28125,-31579,17283
-21125,-28125,-31565,17015
-21125,-28125,-31565,17015
-21125,-28125,-31565,17015
-21125,-28125,-31565,17015
-21125,-28125,-31565,17015
-21909,-27614,-31565,17015
-22968,-27121,-31565,17015
-26334,-23741,-31579,17283
-28638,-20346,-31351,18341
-30182,-17747,-30557,19373
-31208,-15670,-29768,20408
-32767,-11003,-27926,22470
-32767,-8911,-26891,23773
-32767,-7350,-25603,25342
-32767,-7091,-24548,26106
-32767,-7091,-23225,26857
-32767,-7091,-22984,27399
-32767,-7091,-22984,27399
-32767,-7091,-22984,27399
-32767,-7091,-22984,27399
-32767,-7091,-22984,27399
-32767,-7091,-22984,27399
-32767,-7091,-22984,27399
-32767,-7350,-22968,27119
-32767,-8911,-23225,26857
-32767,-13097,-23465,26316
-30212,-18284,-23740,26333
-26613,-23758,-23980,25794
-22164,-27350,-23980,25794
-15655,-30923,-24790,25568
-14355,-31428,-24773,25291
-14369,-31716,-24773,25291
-14369,-31716,-24773,25291
-14369,-31716,-24773,25291
-14885,-31455,-24790,25568
-17746,-30183,-23998,26072
-24773,-25293,-21669,28156
-28622,-20075,-19312,29421
-32749,-11780,-14885,31453
-32767,-7350,-12809,32216
-32767,-3730,-10216,32766
-32767,-643,-7869,32766
-32767,1926,-5019,32766
-32767,3728,-2699,32766
-32767,5018,385,32766
-32767,6052,3472,32766
-32767,6311,7609,32766
-32767,6052,16973,30706
-32767,6052,20632,28936
-32767,5535,23001,27678
-28972,2908,24824,26123
0,0,25100,26140
0,0,25100,26140
0,0,25084,25862
0,0,25100,26140
0,0,25100,26140
0,0,25100,26140
0,0,25100,26140
0,0,25084,25862
0,0,25100,26140
0,0,25100,26140
0,0,25100,26140
0,0,25100,26140
0,0,25100,26140
0,0,25100,26140
0,0,25100,26140
-10806,4510,25100,26140
-24195,8064,25100,26140
-32767,9953,25880,25359
-32767,12052,29502,20663
-32767,12579,31837,16762
-32767,12579,32767,13889
-32767,12579,32767,11526
-32767,9431,32767,7868
-32767,2441,32767,5535
-14010,-1876,32767,4502
0,0,32767,4502
6113,-13227,32767,3728
13218,-24800,32767,2956
17968,-29345,32767,2956
18742,-28825,32767,3213
20041,-28059,32767,3471
24981,-24205,32767,3986
26755,-21586,32767,4244
27776,-20026,32767,4244
28041,-19772,32767,4244
28025,-19502,32767,4244
28025,-19502,32767,4244
28025,-19502,32767,4244
28041,-19772,32767,4502
28075,-20313,32767,4502
25015,-24757,32767,5535
22164,-27350,32767,6570
17999,-29913,32767,7089
15151,-31469,32767,7608
11516,-32739,32767,8909
7090,-32768,32767,9692
1927,-32768,32767,10477
-5019,-32768,32767,11263
-11232,-32148,32767,12052
-8518,-13516,32767,14166
0,0,32767,14166
0,0,32767,14962
0,0,32767,15495
0,0,32767,15495
0,0,32767,15495
0,0,32767,15495
0,0,32767,15495
0,0,32767,16816
0,0,31951,18908
0,0,31410,19418
0,0,31410,19418
0,0,31410,19418
0,0,31410,19418
0,0,31410,19418
0,0,31381,18879
0,0,31381,18879
7103,-9860,31366,18610
12246,-31327,31366,18610
12246,-31327,31366,18610
12246,-31327,31366,18610
12246,-31327,31366,18610
12246,-31327,31366,18610
12258,-31616,31366,18610
12258,-31616,31366,18610
12019,-32182,31366,18610
10467,-32697,31366,18610
-633,-29538,31381,18879
-2205,-17531,30871,19928
0,0,28785,22792
0,0,26991,25425
0,0,25947,26467
0,0,25183,27531
0,0,24131,28304
0,0,23614,28832
0,0,23340,28816
0,0,23340,28816
0,0,23340,28816
0,0,23340,28816
0,0,23340,28816
0,0,23324,28535
0,0,23324,28535
0,0,23324,28535
0,0,23324,28535
0,0,23324,28535
0,0,23308,28255
0,0,23308,28255
0,0,23291,27975
0,0,23291,27975
0,0,23291,27975
0,0,23291,27975
0,0,23275,27695
0,0,24065,27186
0,0,24065,27186
0,0,24048,26907
0,0,24582,26662
0,0,24824,26123
0,0,25100,26140
0,0,25100,26140
0,0,25100,26140
0,0,25360,25879
0,0,25620,25619
0,0,28455,21957
0,0,29753,20137
0,0,30005,19612
0,0,30005,19612
0,0,30005,19612
0,0,30005,19612
0,0,30005,19612
0,0,30005,19612
0,0,30005,19612
0,0,30005,19612
0,0,30005,19612
0,0,30005,19612
0,0,30005,19612
-12228,-1170,30005,19612
-17795,-1047,30005,19612
-23077,-855,30005,19612
-27773,-126,30242,18819
-31886,383,30781,18312
-32767,2956,31823,16495
-32767,4502,32343,15456
-32767,6052,32592,14671
-30271,7790,32579,14406
-25077,8358,32579,14406
0,0,32767,14419
0,0,32767,14419
0,0,32767,14419
0,0,32767,13636
0,0,32767,11789
0,0,32767,11526
0,0,32767,11526
0,0,32767,11526
0,0,32767,11526
0,0,32767,11526
0,0,32767,11526
3375,17577,32767,11526
6285,31680,32767,11526
6053,32766,32767,11526
4245,32766,32767,11526
2699,32766,32767,11526
1670,32766,32767,11526
642,32766,32767,12052
385,32766,32767,12843
128,32766,32767,13371
128,32766,32767,13636
128,32766,32767,15748
128,32766,32410,16790
385,32766,31893,17833
385,32766,31096,18864
385,32766,30572,19643
385,32766,30335,20439
385,32766,29533,21206
642,32766,29017,21990
1670,32766,29034,22262
5229,30483,29034,22262
6270,23235,28768,22519
7758,15631,27992,23565
9324,10201,27466,24081
9324,10201,27466,24081
11986,7147,27204,24339
15998,5638,26942,24598
29314,5202,26942,24598
32767,6052,26942,24598
32767,4760,29001,21717
32767,4760,31608,17819
32767,4760,32767,13636
32767,4760,32767,9431
32767,5018,32767,6829
32767,5276,32767,4760
32767,6052,32767,2956
32767,6829,32767,1926
32767,8128,32767,1669
32767,9692,32767,898
32767,10215,32767,384
32767,10739,32767,-900
32767,11526,32767,-1671
32767,12316,32767,-2186
32767,13371,32767,-3730
32767,14431,32767,-5278
32767,14962,32767,-6313
32767,15228,32767,-7091
32767,15495,32767,-9172
32767,15495,32767,-10741
32767,15495,32767,-13109
32767,15495,32767,-14952
32767,15495,32123,-16778
32767,15228,30796,-18582
32767,13371,29768,-20410
32767,9170,28488,-22505
32767,-6572,27450,-23808
32767,-12306,27450,-23808
32530,-13349,27450,-23808
32530,-13349,27187,-24066
32530,-13349,26663,-24583
32530,-13349,26402,-24842
32530,-13349,26141,-25101
32517,-13085,25863,-25085
32517,-13085,25863,-25085
32517,-13085,25863,-25085
32517,-13085,25863,-25085
32727,-11255,25863,-25085
32767,-7091,25863,-25085
32767,8909,25863,-25085
32767,9431,25863,-25085
32767,9431,25863,-25085
32767,9953,25863,-25085
32767,9953,25863,-25085
32767,9953,26141,-25101
32767,9692,26385,-24566
32767,9692,26663,-24583
32767,9953,26630,-24033
32767,9692,26891,-23775
32767,10215,26891,-23775
32767,10739,26891,-23775
32767,11263,26891,-23775
32767,12052,26891,-23775
32767,12316,26891,-23775
32767,12316,26891,-23775
32767,12316,26908,-24049
32767,12316,26663,-24583
32767,12316,25880,-25361
32767,11263,24582,-26664
32767,7608,23532,-27434
32767,384,23034,-28241
32767,-11003,22761,-28224
27860,-21382,22761,-28224
27579,-21365,22761,-28224
27579,-21365,22761,-28224
27579,-21365,22761,-28224
27579,-21365,22761,-28224
27579,-21365,22761,-28224
27579,-21365,22761,-28224
27562,-21093,22761,-28224
32416,-10720,22761,-28224
32767,-4762,22231,-28472
32767,127,21446,-28986
32767,3728,19868,-29738
32767,6052,17508,-30738
